feature,importance
num__Charges,0.5380401587793124
bin__PaperlessBilling,0.04817770169040043
bin__Partner,0.046636359723062445
bin__Dependents,0.0379079830466658
num__SeniorCity,0.031323569925499804
ohe__PaymentMethod_BANK TRANSFER (AUTOMATIC),0.021900049604728217
ohe__PaymentMethod_CREDIT CARD (AUTOMATIC),0.02123649060006516
ohe__PaymentMethod_ELECTRONIC CHECK,0.021065425354959998
ohe__Contract_MONTH-TO-MONTH,0.019831107416335148
ohe__Contract_ONE YEAR,0.019740069978392498
ohe__PaymentMethod_MAILED CHECK,0.018270182892986896
ohe__OnlineBackup_NO,0.017107740216591654
ohe__Contract_TWO YEAR,0.01661764620253813
ohe__OnlineBackup_YES,0.016371532859987385
ohe__Service2_NO,0.015023855489170134
ohe__TechSupport_NO,0.014852188622809513
ohe__TechSupport_YES,0.014493944746187344
ohe__Service2_YES,0.014086945879635507
ohe__DeviceProtection_NO,0.014072905971287596
ohe__DeviceProtection_YES,0.014056455783015087
ohe__Security_NO,0.012930718662031396
ohe__Security_YES,0.012862418156736706
ohe__Service2_NO PHONE SERVICE,0.005248233610558257
bin__Service1,0.005072092910820476
ohe__OnlineBackup_NO INTERNET SERVICE,0.0008059712059612346
ohe__TechSupport_NO INTERNET SERVICE,0.0007691324366189635
ohe__DeviceProtection_NO INTERNET SERVICE,0.0007610151803969958
ohe__Security_NO INTERNET SERVICE,0.0007381030532447127
